,title,opn_wknd,gross,budget,runtime,directors,writers,cast,PG,PG-13,R,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,days,dir_rank,wri_rank,cast_rank
20,Wonder Woman,103251471.0,4125.63408,1490.0,141.0,['Patty Jenkins'],"['Allan Heinberg', 'Zack Snyder']","['Gal Gadot', 'Chris Pine', 'Connie Nielsen', 'Robin Wright', 'Danny Huston', 'David Thewlis', 'Saïd Taghmaoui', 'Ewen Bremner', 'Eugene Brave Rock', 'Lucy Davis', 'Elena Anaya', 'Lilly Aspell', 'Lisa Loven Kongsli', 'Ann Wolfe', 'Ann Ogbomo']",0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1227,1004,2262,17705
21,Iron Man Three,174144585.0,4090.13994,2000.0,130.0,['Shane Black'],"['Drew Pearce', 'Shane Black']","['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'Rebecca Hall', 'Jon Favreau', 'Ben Kingsley', 'James Badge Dale', 'Stephanie Szostak', 'Paul Bettany', 'William Sadler', 'Dale Dickey', 'Ty Simpkins', 'Miguel Ferrer', 'Xueqi Wang']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2718,1045,2269,17830
22,Captain America: Civil War,179139142.0,4080.84349,2500.0,147.0,"['Anthony Russo', 'Joe Russo']","['Christopher Markus', 'Stephen McFeely']","['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Don Cheadle', 'Jeremy Renner', 'Chadwick Boseman', 'Paul Bettany', 'Elizabeth Olsen', 'Paul Rudd', 'Emily VanCamp', 'Tom Holland', 'Daniel Brühl', 'Frank Grillo']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1619,1080,2276,17829
23,The Hunger Games,152535747.0,4080.10692,780.0,142.0,['Gary Ross'],"['Gary Ross', 'Suzanne Collins']","['Stanley Tucci', 'Wes Bentley', 'Jennifer Lawrence', 'Willow Shields', 'Liam Hemsworth', 'Elizabeth Banks', 'Sandra Ellis Lafferty', 'Paula Malcomson', 'Rhoda Griffis', 'Sandino Moya-Smith', 'Josh Hutcherson', 'Raiko Bowman', 'Dwayne Boyd', 'Anthony Reynolds', 'Judd Lormand']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3124,1017,2279,17807
24,Jumanji: Welcome to the Jungle,36169328.0,4045.40171,900.0,119.0,['Jake Kasdan'],"['Chris McKenna', 'Erik Sommers']","['Dwayne Johnson', 'Kevin Hart', 'Jack Black', 'Karen Gillan', 'Rhys Darby', 'Bobby Cannavale', 'Nick Jonas', 'Alex Wolff', ""Ser'Darius Blain"", 'Madison Iseman', 'Morgan Turner', 'Sean Buxton', 'Mason Guccione', 'Marin Hinkle', 'Tracey Bonner']",0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1026,928,2219,17727
25,Spider-Man,114844116.0,4070.2286,1390.0,121.0,['Sam Raimi'],"['Stan Lee', 'Steve Ditko']","['Tobey Maguire', 'Willem Dafoe', 'Kirsten Dunst', 'James Franco', 'Cliff Robertson', 'Rosemary Harris', 'J.K. Simmons', 'Joe Manganiello', 'Gerry Becker', 'Bill Nunn', 'Jack Betts', 'Stanley Anderson', 'Ron Perkins', 'Michael Papajohn', 'K.K. Dodds']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6736,1008,2267,17730
26,Jurassic Park,47026828.0,4042.1472,630.0,127.0,['Steven Spielberg'],"['Michael Crichton', 'Michael Crichton']","['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough', 'Bob Peck', 'Martin Ferrero', 'BD Wong', 'Joseph Mazzello', 'Ariana Richards', 'Samuel L. Jackson', 'Wayne Knight', 'Gerald R. Molen', 'Miguel Sandoval', 'Cameron Thor', 'Christopher John Fields']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,9984,790,1918,17423
27,Transformers: Revenge of the Fallen,108966307.0,4021.1187,2000.0,149.0,['Michael Bay'],"['Ehren Kruger', 'Roberto Orci']","['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel', 'Tyrese Gibson', 'John Turturro', 'Ramon Rodriguez', 'Kevin Dunn', 'Julie White', 'Isabel Lucas', 'John Benjamin Hickey', 'Matthew Marsden', 'Andrew Howard', 'Michael Papajohn', 'Glenn Morshower', 'John Eric Bentley']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4127,1010,2209,17345
28,Spider-Man: Far from Home,92579212.0,3905.32085,1600.0,129.0,['Jon Watts'],"['Chris McKenna', 'Erik Sommers']","['Tom Holland', 'Samuel L. Jackson', 'Jake Gyllenhaal', 'Marisa Tomei', 'Jon Favreau', 'Zendaya', 'Jacob Batalon', 'Tony Revolori', 'Angourie Rice', 'Remy Hii', 'Martin Starr', 'J.B. Smoove', 'Jorge Lendeborg Jr.', 'Cobie Smulders', 'Numan Acar']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,467,1065,2219,17798
29,Guardians of the Galaxy Vol. 2,146510104.0,3898.13101,2000.0,136.0,['James Gunn'],"['James Gunn', 'Dan Abnett']","['Chris Pratt', 'Zoe Saldana', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Michael Rooker', 'Karen Gillan', 'Pom Klementieff', 'Sylvester Stallone', 'Kurt Russell', 'Elizabeth Debicki', 'Chris Sullivan', 'Sean Gunn', 'Tommy Flanagan', 'Laura Haddock']",0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1255,1069,2277,17797
