,gross_log,const,budget,runtime,PG,PG-13,R,Action,Adventure,Animation,Crime,Family,Fantasy,Horror,Sci-Fi,Thriller,dir_rank,wri_rank,cast_rank
63,19.48899023214754,1.0,225000000.0,143.0,0,1,0,1,1,0,0,0,0,0,1,0,1048,2200,17757
64,19.492931808672157,1.0,18000000.0,124.0,1,0,0,1,1,0,0,0,1,0,1,0,305,2165,17712
65,19.4564380783774,1.0,160000000.0,137.0,0,1,0,1,1,0,0,0,0,0,1,1,1060,2240,17802
66,19.45591458855544,1.0,150000000.0,138.0,0,0,1,1,0,0,0,0,0,0,1,0,961,1939,17660
67,19.383972089228532,1.0,230000000.0,136.0,0,1,0,1,1,0,0,0,0,0,1,0,1052,1991,17126
68,19.381719546493773,1.0,92000000.0,115.0,0,0,0,1,1,1,0,1,0,0,0,0,1028,2173,17779
69,19.375293985716,1.0,170000000.0,136.0,0,1,0,1,1,0,0,0,0,0,1,1,1082,2276,17780
70,19.367542162057244,1.0,60000000.0,100.0,1,0,0,1,1,1,0,1,1,0,0,0,996,2085,17665
71,19.367423157002907,1.0,150000000.0,127.0,0,1,0,1,1,0,0,0,0,0,1,0,1068,2209,17773
72,19.36222202054869,1.0,150000000.0,101.0,0,1,0,1,1,0,0,0,0,0,1,1,1060,2007,17496
73,19.342350355680093,1.0,35000000.0,126.0,0,0,0,1,1,0,0,0,0,0,0,0,888,2040,16001
74,19.339729824083744,1.0,90000000.0,98.0,0,1,0,1,1,0,0,0,0,0,1,0,890,2143,16720
75,19.329584140532404,1.0,18000000.0,115.0,0,0,0,1,1,0,0,0,0,0,0,0,792,2208,15899
76,19.318559311468544,1.0,210000000.0,165.0,0,1,0,1,1,0,0,0,0,0,1,0,1012,2134,17707
77,19.303296894253247,1.0,92000000.0,113.0,0,0,0,1,1,0,0,0,0,0,0,1,821,2037,16047
78,19.30200885659012,1.0,180000000.0,97.0,1,0,0,1,1,0,0,1,1,0,0,0,1046,2118,17333
79,19.300605380691483,1.0,250000000.0,137.0,0,1,0,1,1,0,0,0,1,0,0,0,871,2221,17624
80,19.290633672161448,1.0,160000000.0,130.0,0,1,0,1,1,0,0,0,0,0,0,1,1040,2229,17691
81,19.309341577533043,1.0,30000000.0,105.0,0,0,0,1,0,0,0,0,1,0,0,0,428,1308,15071
82,19.274076309774333,1.0,14000000.0,105.0,0,0,0,1,0,0,1,0,0,0,0,1,252,1272,16291
83,19.27237945779135,1.0,210000000.0,104.0,0,1,0,1,1,0,0,0,0,0,1,0,945,2235,17395
84,19.270496292301722,1.0,200000000.0,132.0,0,1,0,1,1,0,0,0,0,0,1,1,1021,2117,17635
85,19.265011005370283,1.0,165000000.0,115.0,0,1,0,1,1,0,0,0,1,0,1,0,923,2001,17663
86,19.24961100081836,1.0,73000000.0,129.0,0,1,0,1,1,0,0,0,0,0,1,0,792,1918,17399
87,19.249338647594243,1.0,300000000.0,120.0,0,1,0,1,1,0,0,0,1,0,1,0,1048,1894,17696
88,19.24826554826034,1.0,190000000.0,132.0,0,1,0,1,1,0,0,0,0,0,1,0,1068,2209,17663
89,19.24462051880029,1.0,150000000.0,92.0,0,1,0,1,0,0,0,0,1,0,0,0,729,2206,17172
90,19.24253362343398,1.0,110000000.0,115.0,0,1,0,1,0,0,0,0,0,0,0,1,1007,2132,17681
91,19.237270770957366,1.0,97000000.0,137.0,0,0,1,1,0,0,0,0,0,0,1,1,873,1980,17612
92,19.23677222235504,1.0,90000000.0,90.0,0,1,0,1,0,0,1,0,0,0,0,1,945,2230,17265
93,19.236082658318217,1.0,250000000.0,136.0,0,1,0,1,1,0,1,0,0,0,0,1,918,2229,17698
94,19.220562721412932,1.0,165000000.0,102.0,1,0,0,1,1,1,0,1,0,0,1,0,1022,2169,17363
95,19.20986104293353,1.0,178000000.0,147.0,0,1,0,1,1,0,0,0,0,0,0,1,978,2083,17340
96,19.208974977375796,1.0,130000000.0,124.0,1,0,0,1,1,0,0,0,0,0,0,1,763,1861,16440
97,19.200372640549322,1.0,207000000.0,187.0,0,1,0,1,1,0,0,0,0,0,0,0,1003,2145,17597
98,17.778501259778693,1.0,24000000.0,134.0,0,0,0,0,1,0,0,0,0,1,0,0,1003,2145,17597
99,19.198082814630332,1.0,165000000.0,98.0,1,0,0,1,1,1,0,1,1,0,0,0,988,2115,17035
100,19.193787890301294,1.0,162000000.0,118.0,1,0,0,1,1,0,0,0,0,0,1,0,969,2219,17785
101,19.188167899394177,1.0,130000000.0,92.0,1,0,0,1,1,1,0,1,0,0,0,0,989,2100,17092
102,19.18805323156774,1.0,125000000.0,123.0,0,1,0,1,1,0,0,0,0,0,0,1,855,2177,17013
103,19.18591457731867,1.0,110000000.0,134.0,0,1,0,1,1,0,0,0,0,0,1,1,1021,2235,17583
104,19.18039958991065,1.0,275000000.0,135.0,0,1,0,1,1,0,0,0,0,0,1,0,852,2242,17845
105,19.179220015630356,1.0,100000000.0,112.0,0,1,0,1,1,0,0,0,0,0,1,1,905,2147,17695
106,19.17824716822411,1.0,63000000.0,94.0,0,1,0,1,1,0,1,0,0,0,0,0,939,2030,17425
107,19.165542090570952,1.0,65000000.0,117.0,0,0,1,1,0,0,0,0,0,0,0,0,1048,2188,17372
108,19.161844813591134,1.0,125000000.0,130.0,0,1,0,1,1,0,1,0,0,0,0,1,1040,2229,17670
109,19.15974684202392,1.0,145000000.0,132.0,0,1,0,1,1,0,0,0,0,0,0,1,1028,2083,17539
110,19.157982020610962,1.0,90000000.0,128.0,0,1,0,1,1,0,0,0,0,0,0,0,1008,2203,17593
111,19.15566822758038,1.0,170000000.0,130.0,0,1,0,1,1,0,0,0,0,0,1,0,976,2265,17597
112,19.14751620811464,1.0,150000000.0,140.0,0,1,0,1,1,0,0,0,0,0,0,0,1049,2200,16904
113,19.145143144513742,1.0,170000000.0,112.0,0,1,0,1,1,0,0,0,1,0,0,0,1024,2275,17773
114,19.14358130005625,1.0,33000000.0,95.0,0,1,0,1,1,0,1,0,0,0,0,0,939,2030,17095
115,19.142809637940037,1.0,102000000.0,137.0,0,0,1,1,0,0,0,0,0,0,1,0,844,1749,16706
116,19.135676765707714,1.0,90000000.0,124.0,0,0,1,1,0,0,1,0,0,0,0,1,1034,2231,17160
117,19.127996736139643,1.0,200000000.0,142.0,0,1,0,1,1,0,0,0,0,0,1,0,1052,2209,17650
118,19.125557419239133,1.0,190000000.0,116.0,0,1,0,1,1,0,0,0,0,1,1,0,975,2072,17254
119,19.12387619611368,1.0,98000000.0,130.0,0,1,0,1,1,0,0,0,1,0,0,1,947,2033,17302
120,19.121687864098476,1.0,140000000.0,151.0,0,1,0,1,1,0,0,0,0,0,1,1,1012,2259,15668
121,19.11720256898903,1.0,160000000.0,123.0,0,1,0,1,1,0,0,0,0,0,1,1,1075,2250,17764
122,18.730473762774867,1.0,130000000.0,139.0,0,1,0,1,0,0,0,0,0,0,1,1,1075,2250,17764
123,19.114233802132844,1.0,270000000.0,154.0,0,1,0,1,0,0,0,0,0,0,1,0,1021,2141,16768
124,19.114200899948326,1.0,245000000.0,148.0,0,1,0,1,1,0,0,0,0,0,0,1,926,2181,17409
125,19.106514012949628,1.0,140000000.0,183.0,0,1,0,1,0,0,0,0,0,0,0,0,1012,1864,17043
